world:Adrian	schema:givenName	"Adrian"
world:RabitsDen	a	schema:place
world:Kingshome	schema:streetAddress	"Marsch des Ruhmes"@de
world:Sebastian	schema:givenName	"Sebastian"
world:ArlasHome	schema:adressRegion	world:MountainView
world:Fjördall	schema:Population	"230000"^^xsd:int
world:TheOldEmpire	schema:localLanguage	"gvelish"^^xsd:string
world:Avurien	schema:localLanguage	"avurish"^^xsd:string
world:Fintos	a	schema:Person
world:Adrian	schema:address	world:GrindstoneHome
world:Fintos	schema:title	"count"@en.
world:Fjördall	schema:name	"Fjördall"
world:ArlasHome	schema:adressCountry	world:Avurien
world:Adrian	schema:gender	schema:male
world:RabitsDen	schema:adressRegion	world:TimberwoodMountains
world:Loui	schema:address	world:TurnipsHome
world:Lintfur	schema:address	world:HawksNest
world:Avurien	schema:Population	"40000"^^xsd:int
world:Astrid	schema:familyName	"von Kharg"
world:TheOldEmpire	schema:name	"The old empire"
world:Fjördall	a	schema:Country
world:Loui	schema:givenName	"Loui"^^xsd:string
world:TheOldEmpire	a	schema:Country
world:Fintos	schema:birthDate	"1087-04-14"^^xsd:date
world:Sebastian	schema:address	world:Kingshome
world:Fintos	schema:gender	schema:male
world:Adrian	a	schema:Person
world:Sebastian	schema:gender	schema:male
world:Astrid	schema:address	world:RabitsDen
world:Gvelien	schema:localLanguage	"gvelish"^^xsd:string
world:Khargh	schema:foundingYear	"-300"^^xsd:int
world:Khargh	schema:localLanguage	"dwarven"^^xsd:string
world:Lintfur	schema:birthDate	"1103-09-23"^^xsd:date
world:Gvelien	schema:Population	"1000000"^^xsd:int
world:Arla	schema:givenName	"Arla"
world:Lisa	schema:givenName	"Lisa"
world:Astrid	schema:birthDate	"1091-07-07"^^xsd:date
world:Arla	schema:gender	schema:female
world:TheOldEmpire	schema:nationalAnthem	"Through blood and stone"^^xsd:string
world:RabitsDen	schema:adressCity	world:Welf
world:Kingshome	schema:adressCity	world:ImperialCity
world:Lisa	schema:address	world:TurnipsHome.
world:Arla	schema:birthDate	"1099-23-11"^^xsd:date
world:Carl	schema:givenName	"Karl"@de
world:Khargh	a	schema:Country
world:Lisa	schema:gender	schema:female
world:Sharun	schema:name	"Sharûn"
world:Loui	a	schema:Person
world:ArlasHome	schema:adressCity	world:Lados
world:RabitsDen	schema:streetAddress	"Ashnaf's street"@en
world:Fjördall	schema:localLanguage	"fjött"^^xsd:string
world:Sharun	schema:localLanguage	"sharûn"^^xsd:string
world:Fintos	schema:familyName	"Wanderfalke"@de
world:Adrian	schema:faction	world:associationOfGears
world:Astrid	schema:givenName	"Astrid"
world:Fjördall	schema:nationalAnthem	"Fjördall Fjördall"^^xsd:string
world:Adrian	schema:familyName	"Grindstone"@en
world:Adrian	schema:familyName	"Wetzstein"@de
world:HawksNest	schema:adressRegion	world:Kharg
world:Carl	schema:givenName	"Carl"@en
world:Lisa	schema:familyName	"Turnip"
world:Sharun	schema:Population	"2900000"^^xsd:int
